pc11_district_id,pc11_district_name,pc11_state_id,pc11_state_name,count_2011_sub,count_2011_dish,count_2011_sth,count_2011_phc,count_2011_chc,pr_2011_phc,pr_2011_chc,pr_2011_sub,pr_2011_dish,pr_2011_sth
001,Kupwara,1,Jammu & Kashmir,157,1,0,32,6,.34471697,.064634427,1.6912676,.010772405,0
002,Badgam,1,Jammu & Kashmir,139,1,0,56,8,.6965819,.099511698,1.7290158,.012438962,0
003,LehLadakh,1,Jammu & Kashmir,122,1,0,15,3,1.053564,.21071279,8.5689869,.070237599,0
004,Kargil,1,Jammu & Kashmir,118,1,0,16,4,1.0654174,.26635435,7.8574529,.066588588,0
005,Punch,1,Jammu & Kashmir,155,1,0,34,4,.66852766,.078650318,3.0476997,.01966258,0
006,Rajouri,1,Jammu & Kashmir,127,0,0,43,6,.6275689,.087567754,1.8535174,0,0
007,Kathua,1,Jammu & Kashmir,163,1,0,37,5,.56275976,.076048613,2.4791849,.015209722,0
008,Baramula,1,Jammu & Kashmir,196,3,0,68,10,.63247031,.093010344,1.8230027,.027903102,0
009,Bandipore,1,Jammu & Kashmir,35,1,0,10,1,.23903725,.023903726,.83663034,.023903726,0
010,Srinagar,1,Jammu & Kashmir,81,4,0,36,2,.27289867,.015161038,.61402202,.030322077,0
011,Ganderbal,1,Jammu & Kashmir,10,0,0,4,0,.12608413,0,.31521034,0,0
012,Pulwama,1,Jammu & Kashmir,75,1,0,32,2,.53533971,.033458732,1.2547024,.016729366,0
013,Shupiyan,1,Jammu & Kashmir,55,1,0,14,2,.49306494,.070437849,1.9370409,.035218924,0
014,Anantnag,1,Jammu & Kashmir,147,2,0,49,5,.4258996,.043459143,1.2776989,.017383657,0
015,Kulgam,1,Jammu & Kashmir,90,1,0,24,2,.53010207,.044175174,1.9878829,.022087587,0
016,Doda,1,Jammu & Kashmir,96,1,0,30,4,.68614167,.091485552,2.1956532,.022871388,0
017,Ramban,1,Jammu & Kashmir,81,1,0,20,1,.66093594,.033046797,2.6767905,.033046797,0
018,Kishtwar,1,Jammu & Kashmir,101,0,0,18,1,.73154497,.040641386,4.1047802,0,0
019,Udhampur,1,Jammu & Kashmir,123,1,0,37,2,.62507063,.033787601,2.0779374,.0168938,0
020,Reasi,1,Jammu & Kashmir,122,1,0,21,4,.62571514,.11918384,3.635107,.02979596,0
021,Jammu,1,Jammu & Kashmir,180,2,0,50,7,.30640727,.04289702,1.1030662,.012256292,0
022,Samba,1,Jammu & Kashmir,79,1,0,13,3,.38220835,.088201925,2.3226507,.029400643,0
023,Chamba,2,Himachal Pradesh,175,1,5,40,6,.72249407,.10837411,3.1609116,.018062351,.090311758
024,Kangra,2,Himachal Pradesh,440,2,13,80,11,.49670675,.068297178,2.7318871,.012417668,.080714852
025,Lahul & Spiti,2,Himachal Pradesh,35,1,0,15,3,4.4556165,.89112329,10.396439,.29704109,0
026,Kullu,2,Himachal Pradesh,99,1,4,19,3,.4068031,.064232074,2.1196582,.021410691,.085642762
027,Mandi,2,Himachal Pradesh,333,1,9,61,12,.5720517,.11253477,3.1228397,.0093778977,.084401079
028,Hamirpur,2,Himachal Pradesh,159,1,3,27,3,.55665034,.061850034,3.2780519,.020616679,.061850034
029,Una,2,Himachal Pradesh,132,1,3,20,6,.35979632,.10793889,2.3746557,.017989816,.053969447
030,Bilaspur,2,Himachal Pradesh,121,1,1,33,9,.81004512,.2209214,2.9701655,.024546821,.024546821
031,Solan,2,Himachal Pradesh,196,1,6,36,5,.58162564,.080781341,3.1666286,.016156267,.096937612
032,Sirmaur,2,Himachal Pradesh,150,1,4,40,4,.70780158,.070780158,2.6542559,.01769504,.070780158
033,Shimla,2,Himachal Pradesh,240,3,11,89,12,1.0251062,.13821657,2.7643313,.034554143,.12669852
034,Kinnaur,2,Himachal Pradesh,35,1,1,21,4,2.3405797,.44582471,3.9009664,.11145618,.11145618
035,Gurdaspur,3,Punjab,2,2,2,42,16,.17133529,.065270588,.0081588235,.0081588235,.0081588235
036,Kapurthala,3,Punjab,1,1,3,18,8,.20703033,.092013478,.011501685,.011501685,.034505054
037,Jalandhar,3,Punjab,0,2,3,27,9,.11540295,.038467649,0,.0085483668,.01282255
038,Hoshiarpur,3,Punjab,2,2,5,36,13,.21273395,.076820597,.011818553,.011818553,.029546384
039,Shahid Bhagat Singh Nagar,3,Punjab,0,1,1,20,4,.30624375,.061248749,0,.015312187,.015312187
040,Fatehgarh Sahib,3,Punjab,0,1,2,14,5,.21870938,.078110494,0,.015622098,.031244196
041,Ludhiana,3,Punjab,1,1,4,51,10,.13666813,.026797671,.0026797671,.0026797671,.010719068
042,Moga,3,Punjab,0,1,0,24,6,.22598067,.056495167,0,.0094158612,0
043,Firozpur,3,Punjab,0,2,2,42,9,.19407073,.041586585,0,.0092414627,.0092414627
