pc11_district_id,pc11_district_name,pc11_state_id,pc11_state_name,richest,poorest,water_dwelling,water_fetch_women,hand_wash_water,hand_wash_soap,no_toilet,firewood,num_rooms,mem_per_room,dum_65p,ex_diab_broad_ind_fem,ex_htn_broad_ind_fem,bmigrt27_5_fem,csmoke_fem
001,Kupwara,1,Jammu & Kashmir,8.3118048,8.3119688,7.0576415,94.276848,96.740593,79.543213,.82651705,50.830387,2.3462756,2.9502115,34.456902,6.1493587,20.011179,8.7507734,2.2865677
002,Badgam,1,Jammu & Kashmir,13.833916,1.93485,5.9465623,93.986191,97.964149,89.273155,.50920647,36.995975,2.6276636,2.4670124,34.934296,8.6103897,16.215515,15.766848,5.8410349
003,LehLadakh,1,Jammu & Kashmir,6.7579789,3.3784125,6.4729929,82.190422,76.990524,61.748947,1.6907099,9.0613384,2.0883248,2.1068566,29.558363,3.7771661,9.6155424,8.4483919,.089099281
004,Kargil,1,Jammu & Kashmir,3.7526541,18.584255,2.9966133,87.871864,50.327682,41.393616,.83440924,36.651791,2.3463888,2.5338006,26.990757,.85416865,12.237219,4.230742,.3816056
005,Punch,1,Jammu & Kashmir,16.886778,11.01497,2.2959001,94.575592,77.891991,58.31744,38.312347,77.006042,2.3194191,2.831645,22.103603,7.2206335,20.580841,10.000585,.78280878
006,Rajouri,1,Jammu & Kashmir,18.810692,15.149845,2.153023,88.962273,60.744232,45.989643,53.949814,64.641563,2.238884,2.7814112,24.774975,10.381932,23.840147,10.85885,1.1243886
007,Kathua,1,Jammu & Kashmir,35.619385,5.8579059,4.3612566,88.547287,78.407532,69.274376,53.854733,59.19693,2.2467113,2.5398686,37.452785,5.9881234,12.686374,13.371287,.82611239
008,Baramula,1,Jammu & Kashmir,16.228388,2.3989217,1.686434,96.844002,96.313576,89.678581,2.1196098,27.41527,2.5286252,2.3378162,27.586853,3.7487962,18.588398,12.027541,2.7298026
009,Bandipore,1,Jammu & Kashmir,11.141673,5.9454041,1.8065068,96.010735,96.230659,82.37429,.51491708,40.47522,2.2953227,2.7704833,30.894196,8.1426048,22.725594,19.608789,11.435987
010,Srinagar,1,Jammu & Kashmir,39.024525,.02271246,3.2625868,100,98.962204,96.768112,0,1.7320715,2.4735479,2.1015902,29.282261,8.863759,23.877317,21.380301,.56951356
