,pc11_state_id,pc11_district_id,total_cases,total_deaths
153,,000,452.172061920166,5.261196851730347
307,01,001,1085.0,20.0
461,01,002,1248.0,26.0
615,01,003,595.0,3.0
769,01,004,783.0,3.0
923,01,005,209.0,1.0
1077,01,006,646.0,2.0
1231,01,007,511.0,1.0
1385,01,008,1877.0,68.0
1539,01,009,711.0,12.0
1693,01,010,4658.0,113.0
1847,01,011,401.0,6.0
2001,01,012,1395.0,19.0
2155,01,013,1422.0,23.0
2309,01,014,1278.0,24.0
2463,01,015,1493.0,28.0
2617,01,016,269.0,2.0
2771,01,017,534.0,1.0
2925,01,018,136.0,0.0
3079,01,019,436.0,1.0
3233,01,020,126.0,0.0
3387,01,021,1027.0,17.0
3541,01,022,407.0,1.0
3695,02,023,103.0,0.0
3849,02,024,452.0,4.0
4003,02,025,4.0,0.0
4157,02,026,35.0,0.0
4311,02,027,157.0,3.0
4465,02,028,304.0,3.0
4619,02,029,198.0,0.0
4773,02,030,88.0,0.0
4927,02,031,628.0,0.0
5081,02,032,327.0,1.0
5235,02,033,165.0,2.0
5389,02,034,45.0,0.0
5543,03,035,855.0,29.0
5697,03,036,253.0,9.0
5851,03,037,2225.0,52.0
6005,03,038,521.0,15.0
6159,03,039,304.0,3.0
6313,03,040,333.0,2.0
6467,03,041,2962.0,83.0
6621,03,042,326.0,5.0
6775,03,043,674.0,7.0
6929,03,044,231.0,1.0
7083,03,045,294.0,0.0
7237,03,046,346.0,5.0
7391,03,047,112.0,0.0
7545,03,048,1583.0,26.0
7699,03,049,1799.0,76.0
7853,03,050,352.0,10.0
8007,03,051,245.0,4.0
8161,03,052,817.0,14.0
8315,03,053,1033.0,26.0
8469,03,054,191.0,3.0
8623,04,055,1016.0,14.0
8777,05,056,190.0,1.0
8931,05,057,91.0,0.0
9085,05,058,73.0,1.0
9239,05,059,512.0,2.0
9393,05,060,1604.0,41.0
9547,05,061,206.0,4.0
9701,05,062,143.0,0.0
9855,05,063,101.0,1.0
10009,05,064,299.0,2.0
10163,05,065,119.0,1.0
10317,05,066,1070.0,14.0
10471,05,067,1247.0,7.0
10625,05,068,1410.0,2.0
10779,06,069,532.0,2.0
10933,06,070,1495.0,15.0
11087,06,071,265.0,3.0
11241,06,072,423.0,2.0
11395,06,073,247.0,0.0
11549,06,074,1029.0,10.0
11703,06,075,1009.0,13.0
11857,06,076,2877.0,32.0
12011,06,077,273.0,5.0
12165,06,078,318.0,2.0
12319,06,079,365.0,2.0
12473,06,080,903.0,10.0
12627,06,081,916.0,6.0
12781,06,082,1432.0,22.0
12935,06,083,814.0,10.0
13089,06,084,803.0,1.0
13243,06,085,1635.0,8.0
13397,06,086,8989.0,122.0
13551,06,087,535.0,12.0
13705,06,088,8479.0,131.0
13859,06,089,880.0,9.0
14013,07,090,0.0,0.0
14167,07,091,0.0,0.0
14321,07,092,0.0,0.0
14475,07,093,0.0,0.0
14629,07,094,134403.0,3936.0
14783,07,096,0.0,0.0
14937,07,097,0.0,0.0
15091,07,098,0.0,0.0
15245,08,099,229.0,3.0
15399,08,100,207.0,1.0
15553,08,101,1941.0,38.0
15707,08,102,665.0,3.0
15861,08,103,604.0,5.0
16015,08,104,3807.0,16.0
16169,08,105,2546.0,53.0
16323,08,106,1175.0,15.0
16477,08,107,335.0,6.0
16631,08,108,193.0,12.0
16785,08,109,308.0,4.0
16939,08,110,5255.0,184.0
17093,08,111,975.0,8.0
17247,08,112,1432.0,25.0
17401,08,113,6691.0,83.0
17555,08,114,188.0,0.0
17709,08,115,1372.0,11.0
17863,08,116,1115.0,4.0
18017,08,117,869.0,11.0
18171,08,118,2551.0,30.0
18325,08,119,1848.0,41.0
18479,08,120,272.0,3.0
18633,08,121,129.0,0.0
18787,08,122,625.0,6.0
18941,08,123,617.0,5.0
19095,08,124,589.0,1.0
19249,08,125,181.0,2.0
19403,08,126,263.0,6.0
19557,08,127,1564.0,34.0
19711,08,128,135.0,5.0
19865,08,129,518.0,0.0
20019,08,130,1254.0,13.0
20173,08,131,176.0,2.0
20327,09,132,1020.0,11.0
20481,09,133,1225.0,27.0
20635,09,134,679.0,9.0
20789,09,135,2707.0,71.0
20943,09,136,990.0,15.0
21097,09,137,573.0,11.0
21251,09,138,2210.0,107.0
21405,09,139,616.0,12.0
21559,09,140,6067.0,84.0
21713,09,141,5071.0,42.0
21867,09,142,1310.0,31.0
22021,09,143,1324.0,26.0
22175,09,144,259.0,6.0
22329,09,145,867.0,28.0
22483,09,146,1743.0,100.0
22637,09,147,702.0,41.0
22791,09,148,689.0,14.0
22945,09,149,366.0,3.0
23099,09,150,2042.0,52.0
23253,09,151,633.0,3.0
23407,09,152,896.0,6.0
23561,09,153,407.0,1.0
23715,09,154,492.0,1.0
23869,09,155,1034.0,11.0
24023,09,156,751.0,14.0
24177,09,157,7615.0,90.0
24331,09,158,637.3039426803589,11.448405265808105
24485,09,159,454.0,12.0
24639,09,160,803.0,7.0
24793,09,161,679.0,23.0
24947,09,162,357.0,2.0
25101,09,163,220.0,2.0
25255,09,164,4697.0,193.0
25409,09,165,373.0,9.0
25563,09,166,2215.0,64.0
25717,09,167,324.0,4.0
25871,09,168,286.0,7.0
26025,09,169,256.0,3.0
26179,09,170,306.0,2.0
26333,09,171,224.0,2.0
26487,09,172,453.0,8.0
26641,09,173,366.0,12.0
26795,09,174,330.0,4.0
26949,09,175,2154.0,51.0
27103,09,176,1075.0,10.0
27257,09,177,1052.0,13.0
27411,09,178,222.0,10.0
27565,09,179,997.6960573196411,17.551594734191895
27719,09,180,479.0,6.0
27873,09,181,150.0,2.0
28027,09,182,253.0,7.0
28181,09,183,649.0,12.0
28335,09,184,756.0,12.0
28489,09,185,874.0,24.0
28643,09,186,883.0,10.0
28797,09,187,678.0,6.0
28951,09,188,1955.0,47.0
29105,09,189,644.0,7.0
29259,09,190,1024.0,9.0
29413,09,191,876.0,11.0
29567,09,192,492.0,6.0
29721,09,193,1653.0,16.0
29875,09,194,1861.0,15.0
30029,09,195,1068.0,10.0
30183,09,196,892.0,7.0
30337,09,197,2688.0,67.0
30491,09,198,594.0,6.0
30645,09,199,550.0,13.0
30799,09,200,513.0,0.0
30953,09,201,331.0,10.0
31107,09,202,407.0,1.0
31261,10,203,1186.0,11.0
31415,10,204,1334.0,10.0
31569,10,205,285.0,1.0
31723,10,206,436.0,4.0
31877,10,207,975.0,2.0
32031,10,208,845.0,1.0
32185,10,209,553.0,5.0
32339,10,210,667.0,4.0
32493,10,211,1112.0,4.0
32647,10,212,1023.0,3.0
32801,10,213,649.0,1.0
32955,10,214,629.0,1.0
33109,10,215,780.0,10.0
33263,10,216,1998.0,11.0
33417,10,217,888.0,1.0
33571,10,218,1434.0,7.0
33725,10,219,1525.0,9.0
33879,10,220,1178.0,6.0
34033,10,221,1172.0,10.0
34187,10,222,1639.0,10.0
34341,10,223,1036.0,5.0
34495,10,224,2488.0,26.0
34649,10,225,569.0,2.0
34803,10,226,1027.0,12.0
34957,10,227,739.0,3.0
35111,10,228,523.0,1.0
35265,10,229,1998.0,15.0
35419,10,230,8229.0,41.0
35573,10,231,1489.0,11.0
35727,10,232,942.0,2.0
35881,10,233,468.0,3.0
36035,10,234,1925.0,16.0
36189,10,235,883.0,4.0
36343,10,236,1957.0,19.0
36497,10,237,1288.0,6.0
36651,10,238,784.0,1.0
36805,10,239,846.0,5.0
36959,10,240,502.0,2.0
